"CCS","Age: <2","Age: 2-4","Age: 5-11","Age: 12-17","Age: 18-34","Age: 35-44","Age: 45-54","Age: 55-64","Age: >64"
"2",,"2.240%,  8.882%","1.648%,  6.595%",,,,,,
"3",,,"3.881%, 15.003%","1.346%,  5.413%",,,,,
"7",,"1.911%,  7.616%","2.148%,  8.532%","1.590%,  6.370%",,"1.348%,  5.419%","1.202%,  4.845%","0.808%,  3.277%",
"55",,,"2.691%, 10.598%",,,,,,
"63",,,"1.230%,  4.954%",,,,,,
"84",,,"0.936%,  3.789%",,,,,,
"92",,"5.552%, 20.907%","4.117%, 15.854%","2.310%,  9.150%","2.197%,  8.719%","2.338%,  9.257%","1.905%,  7.593%",,
"100",,,,,,,,,"0.680%,  2.764%"
"107",,,,,,,,,"0.985%,  3.984%"
"122",,,"5.290%, 20.001%","4.638%, 17.716%","3.667%, 14.223%","4.110%, 15.830%","3.986%, 15.384%","3.565%, 13.850%","3.283%, 12.808%"
"124",,,"1.748%,  6.985%","1.633%,  6.537%",,,,,
"125",,,"6.506%, 24.137%","6.849%, 25.273%","5.881%, 22.032%","6.570%, 24.349%","6.944%, 25.586%","7.163%, 26.302%","8.297%, 29.930%"
"126",,"4.386%, 16.821%","5.154%, 19.529%","5.642%, 21.216%","4.295%, 16.494%","5.263%, 19.908%","5.552%, 20.907%","5.808%, 21.785%","6.979%, 25.701%"
"127",,,"5.848%, 21.919%","6.031%, 22.543%","4.911%, 18.680%","4.674%, 17.845%","3.043%, 11.919%","1.586%,  6.353%",
"128",,,,,,"1.227%,  4.944%","1.167%,  4.707%","1.059%,  4.276%",
"129",,,,,,,,,"1.119%,  4.516%"
"130",,,"1.835%,  7.324%",,"0.592%,  2.410%","0.773%,  3.135%","0.563%,  2.290%","0.449%,  1.832%","0.730%,  2.964%"
"131",,,"1.141%,  4.605%",,,,"0.572%,  2.330%","0.705%,  2.862%","1.320%,  5.309%"
"133",,"5.308%, 20.064%","4.630%, 17.690%","4.010%, 15.468%","2.777%, 10.922%","2.751%, 10.825%","2.234%,  8.860%","1.724%,  6.890%","1.244%,  5.010%"
"246","1.824%, 7.280%","3.894%, 15.050%","5.392%, 20.358%","6.082%, 22.715%","4.270%, 16.405%","4.325%, 16.602%","3.757%, 14.549%","2.819%, 11.078%","1.953%,  7.781%"
"247",,,,"1.029%,  4.158%",,,,,
"250",,,"3.372%, 13.137%","2.608%, 10.282%",,,,,
"252","0.889%, 3.602%","1.397%,  5.615%","2.161%,  8.580%","1.795%,  7.167%",,,,,
