"CCS","Disease description"
2,"Septicemia (except in labor)"
3,"Bacterial infection; unspecified site"
7,"Viral infection"
8,"Other infections; including parasitic"
55,"Fluid and electrolyte disorders"
63,"Diseases of white blood cells"
84,"Headache; including migraine"
92,"Otitis media and related conditions"
100,"Acute myocardial infarction"
107,"Cardiac arrest and ventricular fibrillation"
121,"Other diseases of veins and lymphatics"
122,"Pneumonia (except that caused by tuberculosis or sexually transmitted disease)"
124,"Acute and chronic tonsillitis"
125,"Acute bronchitis"
126,"Other upper respiratory infections"
127,"Chronic obstructive pulmonary disease and bronchiectasis"
128,"Asthma"
129,"Aspiration pneumonitis; food/vomitus"
130,"Pleurisy; pneumothorax; pulmonary collapse"
131,"Respiratory failure; insufficiency; arrest (adult)"
133,"Other lower respiratory disease"
185,"Prolonged pregnancy"
197,"Skin and subcutaneous tissue infections"
229,"Fracture of upper limb"
230,"Fracture of lower limb"
234,"Crushing injury or internal injury"
235,"Open wounds of head; neck; and trunk"
236,"Open wounds of extremities"
239,"Superficial injury; contusion"
240,"Burns"
243,"Poisoning by nonmedicinal substances"
246,"Fever of unknown origin"
247,"Lymphadenitis"
250,"Nausea and vomiting"
252,"Malaise and fatigue"
2601,"E Codes: Cut/pierceb"
2608,"E Codes: Pedal cyclist; not MVT"
2611,"E Codes: Natural/environment"
2614,"E Codes: Struck by; against"
